Run,Generation,Firefly,C,Gamma,Fitness,Diversity
1,1,10,4.064997577420708,0.0282265101379852,0.8505008560985824,2.4213650711769916
1,1,11,3.439217982032756,0.0734660919503748,0.8505008560985824,2.6930885238290956
1,1,12,0.1541321924983714,0.03632684331303,0.8485007308798714,5.206060337951536
1,1,13,3.999702480713758,0.0492235694735708,0.8505008560985824,2.441768126874646
1,1,14,9.114501244314605,0.0323336023476357,0.8512502938328285,4.239504733351828
1,1,15,3.584662558423478,0.0661002675974259,0.8505008560985824,2.616466275232171
1,1,16,4.522179657040332,0.0224604816526446,0.8505008560985824,2.3571165037749036
1,1,17,4.523681296072676,0.0157638779675307,0.8505008560985824,2.35729060514029
1,1,18,1.7641434653871677,0.0498340617836867,0.8497508560048558,3.7507920088214974
1,1,19,4.21941680481088,0.0534509160833385,0.8505008560985824,2.388661796597367
1,2,0,5.104601198047513,0.0466918670843025,0.8505008560985824,2.3083505983937447
1,2,1,9.08496497855336,0.0448226142008115,0.8515001688952973,4.156320381537003
1,2,2,1.5654482369476066,0.059345008181955,0.8497510434580159,3.9162076181932473
1,2,3,5.808668844955917,0.0406848216427304,0.8502507935829534,2.5306263185377476
1,2,4,7.548548914150807,0.077341208349635,0.8512502938328285,3.2635409590055517
1,2,5,9.094292230363475,0.0375295845282577,0.8512502938328285,4.165109941585297
1,2,6,1.3682947109864845,0.0796586894717422,0.8497508560048558,4.082440434592412
1,2,7,8.388980864459342,0.0124662681203266,0.8515003563484574,3.705805243341472
1,2,8,9.040754505540011,0.0451066417928191,0.8512502938328285,4.119190902652447
1,2,9,4.878291012781063,0.0389822392576373,0.8505008560985824,2.2606991498742306
1,2,10,4.268178930445295,0.025913584638147,0.8505008560985824,2.261638977125787
1,2,11,3.844299184977211,0.0559795002415723,0.8505008560985824,2.456064298334175
1,2,12,0.2822509057065262,0.0393127512819555,0.8485007308798714,5.111033939210448
1,2,13,4.238906318215303,0.0394543741212219,0.8505008560985824,2.270785537202166
1,2,14,9.024747908963414,0.0308889278015834,0.8512502938328285,4.1074658271071005
1,2,15,4.026543306390949,0.0482961495062789,0.8505008560985824,2.3601036948119134
1,2,16,4.522480169218609,0.0211212234812678,0.8505008560985824,2.2237837892915246
1,2,17,4.523681547038177,0.015763877753424,0.8505008560985824,2.2239380665550184
1,2,18,1.764689152372504,0.0498278543090399,0.8497508560048558,3.769363828469824
1,2,19,4.374762009508561,0.0366465014793155,0.8505008560985824,2.2390193141894645
1,3,0,4.703193214182945,0.035225017613312,0.8505008560985824,2.1308811131713967
1,3,1,9.00585775673602,0.0378353522625619,0.8515001688952973,4.06514796646623
1,3,2,1.5730062374312317,0.060706992838289,0.8497510434580159,3.893689687897009
1,3,3,5.442613429002648,0.0375800474120761,0.8502507935829534,2.360166950079066
1,3,4,7.786493673420539,0.0665157017540038,0.8512502938328285,3.3473397989699096
1,3,5,9.01180392432392,0.033764734919321,0.8512502938328285,4.070761204906572
1,3,6,1.4362791706776352,0.0745596115667835,0.8497508560048558,4.008977328675871
1,3,7,8.388980783888808,0.012466268605655,0.8515003563484574,3.6643986713873797
1,3,8,8.96480807230129,0.037260282964778,0.8512502938328285,4.030567234533175
1,3,9,4.743017078537025,0.035969315232827,0.8505008560985824,2.139263001036376
1,3,10,4.388777643641718,0.0279547933948881,0.8505008560985824,2.1198245849390505
1,3,11,4.26464726111131,0.0373312446655833,0.8505008560985824,2.173266206041485
1,3,12,0.438154768672361,0.0423848168459582,0.8485007308798714,4.954318642965294
1,3,13,4.3601262875090665,0.0357318857492675,0.8505008560985824,2.127248172466644
1,3,14,8.939900409831028,0.0284302979310118,0.8512502938328285,4.012257125473507
1,3,15,4.320351994168719,0.0345072486108791,0.8505008560985824,2.1439451619829177
1,3,16,4.493581384741916,0.0241585257559938,0.8505008560985824,2.1089714945511626
1,3,17,4.491247036734993,0.0256673650729437,0.8505008560985824,2.1089340722294536
1,3,18,1.766609846707765,0.0498153287808574,0.8497508560048558,3.750989544820753
1,3,19,4.374762009508561,0.0366465014793155,0.8505008560985824,2.122716315398955
1,4,0,4.703193214182945,0.035225017613312,0.8505008560985824,2.0659533737173486
1,4,1,8.93288509576854,0.0331966203529127,0.8515001688952973,3.9714905175348822
1,4,2,1.611363833974301,0.0585991030218616,0.8497510434580159,3.8484133120017923
1,4,3,4.947074396239384,0.0367237567145849,0.8502507935829534,2.1396118971675273
1,4,4,8.139949424061324,0.0514188431724101,0.8512502938328285,3.484200553056412
1,4,5,8.929842279385882,0.0303869022400131,0.8512502938328285,3.9685981166119184
1,4,6,1.5251434654511442,0.0674918882941916,0.8497508560048558,3.9211045920851193
